confusion_matrix,tp,tn,fp,fn,precision,recall,f1,accuracy,threshold,roc_auc,File
"[[405 247]
 [ 90 540]]",540,405,247,90,0.6861499364675985,0.8571428571428571,0.7621736062103035,0.7371294851794071,0.4510428607463836,0.8167226604343168,JURD980101
"[[514 138]
 [149 481]]",481,514,138,149,0.777059773828756,0.7634920634920634,0.7702161729383507,0.7761310452418096,0.5060256719589233,0.8537174992696466,KUHL950101
"[[465 187]
 [138 492]]",492,465,187,138,0.7245949926362297,0.780952380952381,0.7517188693659282,0.7464898595943837,0.4107765555381775,0.8293066510857922,WOLR790101
"[[394 258]
 [ 76 554]]",554,394,258,76,0.6822660098522167,0.8793650793650793,0.768377253814147,0.7394695787831513,0.4716939032077789,0.8318531502580582,EISD860102
"[[492 160]
 [151 479]]",479,492,160,151,0.7496087636932708,0.7603174603174603,0.7549251379038613,0.7574102964118564,0.5836954116821289,0.8257620021423702,CIDH920105
"[[488 164]
 [140 490]]",490,488,164,140,0.7492354740061162,0.7777777777777778,0.7632398753894081,0.7628705148205929,0.5056304931640625,0.8336936410556042,ZIMJ680101
"[[462 190]
 [118 512]]",512,462,190,118,0.7293447293447294,0.8126984126984127,0.7687687687687688,0.7597503900156006,0.4940621256828308,0.8239872431590222,HOPT810101
"[[513 139]
 [166 464]]",464,513,139,166,0.7694859038142621,0.7365079365079366,0.7526358475263585,0.7620904836193447,0.5083480477333069,0.8448193592365373,ARGP820101
"[[434 218]
 [ 93 537]]",537,434,218,93,0.7112582781456953,0.8523809523809524,0.7754512635379062,0.7574102964118564,0.4794946014881134,0.827553802707177,NADH010107
"[[460 192]
 [131 499]]",499,460,192,131,0.7221418234442837,0.792063492063492,0.7554882664647994,0.7480499219968799,0.5014958381652832,0.816851689551076,PONP930101
"[[484 168]
 [170 460]]",460,484,168,170,0.732484076433121,0.7301587301587301,0.7313195548489666,0.7363494539781591,0.618031919002533,0.8079048592852273,NADH010101
"[[467 185]
 [119 511]]",511,467,185,119,0.7341954022988506,0.8111111111111111,0.770739064856712,0.7628705148205929,0.5073553919792175,0.8279287174992697,NADH010106
"[[489 163]
 [164 466]]",466,489,163,164,0.7408585055643879,0.7396825396825397,0.7402700555996823,0.7449297971918877,0.4925999343395233,0.8196927646314149,LEVM760101
"[[457 195]
 [124 506]]",506,457,195,124,0.7218259629101283,0.8031746031746032,0.7603305785123967,0.751170046801872,0.500961422920227,0.832016262537735,EISD840101
"[[455 197]
 [146 484]]",484,455,197,146,0.71071953010279,0.7682539682539683,0.738367658276125,0.7324492979719188,0.4935528337955475,0.8042238776901353,KIDA850101
"[[505 147]
 [146 484]]",484,505,147,146,0.7670364500792393,0.7682539682539683,0.767644726407613,0.7714508580343213,0.5801276564598083,0.8476774758983348,GOLD730101
"[[483 169]
 [136 494]]",494,483,169,136,0.7450980392156863,0.7841269841269841,0.7641144624903325,0.7620904836193447,0.4985256195068359,0.8286347258739898,CASG920101
"[[413 239]
 [111 519]]",519,413,239,111,0.6846965699208444,0.8238095238095238,0.7478386167146974,0.7269890795631825,0.5892333984375,0.8155248807089298,FASG890101
"[[392 260]
 [ 85 545]]",545,392,260,85,0.6770186335403726,0.8650793650793651,0.759581881533101,0.7308892355694228,0.5050708055496216,0.8077490505404615,KYTJ820101
"[[460 192]
 [120 510]]",510,460,192,120,0.7264957264957265,0.8095238095238095,0.7657657657657657,0.7566302652106084,0.5063457489013672,0.8416033693641055,BLAS910101
"[[360 292]
 [102 528]]",528,360,292,102,0.6439024390243903,0.8380952380952381,0.7282758620689656,0.6926677067082684,0.6258896589279175,0.7727237316194371,L_hydrophobicity_scale
"[[503 149]
 [164 466]]",466,503,149,164,0.7577235772357723,0.7396825396825397,0.7485943775100402,0.7558502340093604,0.5042778253555298,0.8221102346869218,NADH010103
"[[491 161]
 [145 485]]",485,491,161,145,0.7507739938080495,0.7698412698412699,0.7601880877742947,0.7613104524180967,0.5029893517494202,0.8327368779822767,NADH010104
"[[510 142]
 [173 457]]",457,510,142,173,0.7629382303839732,0.7253968253968254,0.7436940602115542,0.7542901716068643,0.5087125301361084,0.822516798130295,NADH010105
"[[459 193]
 [117 513]]",513,459,193,117,0.726628895184136,0.8142857142857143,0.7679640718562875,0.7581903276131046,0.5030268430709839,0.8410957736877982,NADH010102
"[[514 138]
 [200 430]]",430,514,138,200,0.7570422535211268,0.6825396825396826,0.7178631051752922,0.7363494539781591,0.6000006198883057,0.8307576200214237,PRAM900101
"[[499 153]
 [160 470]]",470,499,153,160,0.7544141252006421,0.746031746031746,0.7501995211492418,0.7558502340093604,0.5319386124610901,0.8315390982568899,JOND750101
"[[478 174]
 [156 474]]",474,478,174,156,0.7314814814814815,0.7523809523809524,0.7417840375586855,0.7425897035881436,0.537929117679596,0.8200774174700556,ENGD860101
"[[443 209]
 [118 512]]",512,443,209,118,0.710124826629681,0.8126984126984127,0.7579570688378978,0.7449297971918877,0.5132134556770325,0.83088908364982,JURD980101
"[[525 127]
 [166 464]]",464,525,127,166,0.7851099830795262,0.7365079365079366,0.76003276003276,0.7714508580343213,0.5702643394470215,0.8457517771934948,KUHL950101
"[[460 192]
 [126 504]]",504,460,192,126,0.7241379310344828,0.8,0.7601809954751131,0.7519500780031201,0.5031641721725464,0.8346138864543771,WOLR790101
"[[417 235]
 [ 88 542]]",542,417,235,88,0.6975546975546976,0.8603174603174604,0.7704335465529495,0.7480499219968799,0.501122772693634,0.8314100691401305,EISD860102
"[[402 250]
 [ 86 544]]",544,402,250,86,0.6851385390428212,0.8634920634920635,0.7640449438202247,0.7379095163806553,0.3609882891178131,0.8305847696951992,CIDH920105
"[[429 223]
 [106 524]]",524,429,223,106,0.7014725568942436,0.8317460317460318,0.7610748002904866,0.7433697347893916,0.5058553814888,0.8330825786347259,ZIMJ680101
"[[441 211]
 [105 525]]",525,441,211,105,0.7133152173913043,0.8333333333333334,0.7686676427525623,0.7535101404056163,0.5061730146408081,0.8285933391761613,HOPT810101
"[[488 164]
 [141 489]]",489,488,164,141,0.7488514548238897,0.7761904761904762,0.7622759158222915,0.7620904836193447,0.5020352005958557,0.8421170513195052,ARGP820101
"[[489 163]
 [140 490]]",490,489,163,140,0.7503828483920367,0.7777777777777778,0.7638347622759158,0.7636505460218409,0.4894540905952453,0.824004284740481,NADH010107
"[[492 160]
 [168 462]]",462,492,160,168,0.7427652733118971,0.7333333333333333,0.7380191693290735,0.7441497659906396,0.5306955575942993,0.8262902911675918,PONP930101
"[[493 159]
 [172 458]]",458,493,159,172,0.7423014586709886,0.726984126984127,0.7345629510825983,0.7418096723868954,0.519639790058136,0.8213969227772909,NADH010101
"[[518 134]
 [178 452]]",452,518,134,178,0.7713310580204779,0.7174603174603175,0.743421052631579,0.7566302652106084,0.4953490197658539,0.8348877690135358,NADH010106
"[[515 137]
 [183 447]]",447,515,137,183,0.7654109589041096,0.7095238095238096,0.7364085667215815,0.750390015600624,0.5251784920692444,0.8303267114616808,LEVM760101
